INPUT|ID|BRANCH|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL|CAR_ENT|WALK_ENT|MENU|TIME
메가박스|1320947977|메가박스 강동|서울특별시 강동구 성내동 549-1|서울특별시 강동구 성내로 48|1544-0070|['문화,예술', '영화관']|127.1251780|37.5285181|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1254109, 'y': 37.5282322}]|[{'rep': True, 'x': 127.1253407, 'y': 37.5286515}]|영화관 3시간 2,000|None
메가박스|238771076|메가박스 송파 파크하비오|서울특별시 송파구 문정동 618 파크하비오 204동 지하1층 메가박스|서울특별시 송파구 송파대로 111 204동 지하1층 메가박스|1544-0070|['문화,예술', '영화관']|127.1238528|37.4821827|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1231345, 'y': 37.4819109}]|[{'rep': True, 'x': 127.1231345, 'y': 37.4819109}]|None|None
메가박스|12307868|메가박스 코엑스|서울특별시 강남구 삼성동 159|서울특별시 강남구 봉은사로 524|1544-0070|['문화,예술', '영화관']|127.0588053|37.5126636|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0606252, 'y': 37.5127082}, {'rep': False, 'x': 127.0580428, 'y': 37.5136742}, {'rep': False, 'x': 127.0611329, 'y': 37.5108965}, {'rep': False, 'x': 127.0574705, 'y': 37.5118198}]|[{'rep': False, 'x': 127.0580428, 'y': 37.5136742}, {'rep': False, 'x': 127.0608147, 'y': 37.512385}, {'rep': False, 'x': 127.0581974, 'y': 37.5104968}, {'rep': False, 'x': 127.0597315, 'y': 37.5104168}, {'rep': False, 'x': 127.0612502, 'y': 37.5115517}, {'rep': False, 'x': 127.0604239, 'y': 37.510664}, {'rep': False, 'x': 127.0584084, 'y': 37.513382}, {'rep': False, 'x': 127.0591875, 'y': 37.5138947}, {'rep': False, 'x': 127.05985, 'y': 37.5139083}, {'rep': False, 'x': 127.0601822, 'y': 37.5135381}]|None|매일 10:00~22:00 연중무휴
메가박스|1396259461|메가박스 군자|서울특별시 광진구 군자동 477-12|서울특별시 광진구 능동로 289|1544-0070|['문화,예술', '영화관']|127.0783795|37.5557948|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0782553, 'y': 37.5556167}]|[{'rep': True, 'x': 127.0785107, 'y': 37.5557422}]|None|None
메가박스|1553265275|메가박스 성수점|서울특별시 성동구 성수동1가 656-335|서울특별시 성동구 왕십리로 50|1544-0070|['문화,예술', '영화관']|127.0449105|37.5418866|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0444764, 'y': 37.542148}]|[{'rep': True, 'x': 127.044622, 'y': 37.5418322}]|포토 패키지 25,000 | 스낵 패키지 20,000 | 영화 패키지 50,000|None
메가박스|38002787|메가박스 씨티|서울특별시 강남구 역삼동 816|서울특별시 강남구 강남대로 422|1544-0070|['문화,예술', '영화관']|127.0269011|37.5003186|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0272554, 'y': 37.5004901}]|[{'rep': True, 'x': 127.0267892, 'y': 37.5003844}]|None|None
메가박스|11678189|메가박스 강남|서울특별시 서초구 서초동 1317-18 아라타워|서울특별시 서초구 서초대로77길 3 아라타워|1544-0070|['문화,예술', '영화관']|127.0264191|37.4981850|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0265791, 'y': 37.4982924}]|[{'rep': True, 'x': 127.0266359, 'y': 37.4978593}, {'rep': False, 'x': 127.0266546, 'y': 37.4981572}]|None|None
메가박스|1865571865|메가박스중앙|서울특별시 강남구 논현동 6-13|서울특별시 강남구 도산대로 156|1544-0070|['문화,예술', '영화관']|127.0256780|37.5182169|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.025644, 'y': 37.518396}]|[{'rep': True, 'x': 127.025644, 'y': 37.518396}]|None|None
메가박스|36732624|메가박스 센트럴|서울특별시 서초구 반포동 19-3 센트럴시티|서울특별시 서초구 신반포로 176 센트럴시티|1544-0070|['문화,예술', '영화관']|127.0030581|37.5046620|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.002627, 'y': 37.5052523}]|[{'rep': True, 'x': 127.0034875, 'y': 37.5054833}]|치킨텐더 6,000 | 프렌치 프라이 7,000 | 더불 후라이드 소시지 5,000 | 통찡어 9,500 | 소떡소떡/갈떡궁합 3,500 | 갈릭 포테이토 8,000 | 즉석구이 몸다리 9,000|None
메가박스|13204674|메가박스 상봉점|서울특별시 중랑구 상봉동 130-170 안산빌딩|서울특별시 중랑구 망우로30길 3 안산빌딩|1544-0070|['문화,예술', '영화관']|127.0747732|37.5930773|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0748891, 'y': 37.5927972}]|[{'rep': True, 'x': 127.0746455, 'y': 37.5933821}]|None|None
메가박스|1032361173|메가박스 미사강변|경기도 하남시 망월동 1079-2|경기도 하남시 미사강변중앙로 218|1544-0070|['문화,예술', '영화관']|127.1896620|37.5662436|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1897826, 'y': 37.5661666}]|[{'rep': True, 'x': 127.1897826, 'y': 37.5661666}]|None|매일 09:00~01:00
메가박스|12957764|메가박스 동대문|서울특별시 중구 을지로6가 18-220|서울특별시 중구 장충단로 247 굿모닝시티 쇼핑몰|1544-0070|['문화,예술', '영화관']|127.0072089|37.5665760|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.0069774, 'y': 37.5667602}]|[{'rep': True, 'x': 127.0079445, 'y': 37.5666614}, {'rep': False, 'x': 127.0076913, 'y': 37.5664608}, {'rep': False, 'x': 127.0076867, 'y': 37.5671727}]|None|None
메가박스|12122663|메가박스 이수점|서울특별시 동작구 사당동 147-98|서울특별시 동작구 동작대로 89 골든시네마타워|1544-0070|['문화,예술', '영화관']|126.9816797|37.4846732|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.981498, 'y': 37.484708}]|[{'rep': True, 'x': 126.9817916, 'y': 37.4845795}]|None|None
메가박스|38506842|메가박스 하남스타필드점|경기도 하남시 신장동 616 스타필드 하남 4층|경기도 하남시 미사대로 750 스타필드 하남 4층|1544-0070|['문화,예술', '영화관']|127.2251365|37.5448229|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.2259411, 'y': 37.5445345}, {'rep': False, 'x': 127.2244626, 'y': 37.5442604}]|[{'rep': True, 'x': 127.223679, 'y': 37.5444962}, {'rep': False, 'x': 127.2247409, 'y': 37.5441986}]|None|매일 08:00~02:00
메가박스|1542146675|메가박스 남양주현대아울렛 스페이스원|경기도 남양주시 다산동 6141|경기도 남양주시 다산순환로 50|1544-0070|['문화,예술', '영화관']|127.1524291|37.6162580|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.152173, 'y': 37.615374}]|[{'rep': True, 'x': 127.153346, 'y': 37.615685}, {'rep': False, 'x': 127.150687, 'y': 37.616186}]|None|None
메가박스|11730332|메가박스 분당|경기도 성남시 분당구 서현동 262-2|경기도 성남시 분당구 황새울로 332 분당문화센터|1544-0070|['문화,예술', '영화관']|127.1222052|37.3855410|https://www.megabox.co.kr/|[{'rep': True, 'x': 127.1222198, 'y': 37.3853491}]|[{'rep': True, 'x': 127.1225931, 'y': 37.3853302}, {'rep': False, 'x': 127.1222856, 'y': 37.3857033}]|None|None
메가박스|12162121|메가박스 신촌|서울특별시 서대문구 신촌동 74-12 밀리오레 5층|서울특별시 서대문구 신촌역로 30 신촌민자역사|1544-0070|['문화,예술', '영화관']|126.9421125|37.5595936|https://www.megabox.co.kr/|[{'rep': True, 'x': 126.9425312, 'y': 37.5601492}, {'rep': False, 'x': 126.9414026, 'y': 37.5601652}]|[{'rep': True, 'x': 126.9426122, 'y': 37.5592283}, {'rep': False, 'x': 126.9414026, 'y': 37.5601652}]|None|None
