##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|2테크노파크점|경기 부천시 오정구 석천로345,  300동 114호(삼정동 365)|toto;cafe25;post;battery;withdrawal|V3414|37.51826292|126.76388845
GS25|38선휴게소점|강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)|cafe25;drug;post;withdrawal;smart_atm|VX815|38.00414846|128.73283627
GS25|CBS점|서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)|post;battery|VQ037|37.52831065|126.87486792
GS25|DDMC점|서울 마포구 매봉산로75, 1층 107호 (상암동 1610)|cafe25;post|VO395|37.5783899|126.89294205
GS25|DDP점|서울 중구 을지로281 (을지로7가 2-1)|post;battery;tax|VF073|37.56703853|127.00978156
GS25|DMC가재울점|서울 서대문구 남가좌동124-1번지 DMC파크뷰자이 203동 101호|drug;post;withdrawal|VW887|37.57410234|126.91639401
GS25|GS상당점|충북 청주시 상당구 호미로165번길64 (용암동 2682)|cafe25;drug;post;withdrawal;smart_atm|VO355|36.62142246|127.51590125
GS25|GS칼텍스점|전남 여수시 여수산단로918(적량동 1320)||VU494|34.85012428|127.70150347
GS25|G강화가나안점|인천 강화군 화도면 해안남로2351 (장화리 1106-2)|post;withdrawal|VQ045|37.61326977|126.3826172
GS25|G고덕점|서울 강동구 고덕로39 (암사3동 441-14)|cafe25;drug;battery;withdrawal|VI989|37.55513349|127.12956973
GS25|G국회대로점|서울 영등포구 국회대로746 (여의도동 17-2)|cafe25;post|VU715|37.52798374|126.91602067
GS25|G대구대림공단점|대구 달서구 달서대로403 (호림동 482-2)|cafe25;drug;post;withdrawal;self_cook|VE612|35.83533857|128.49134847
GS25|G대전갑천점|대전 대덕구 아리랑로55번길187 (신대동 426)|cafe25;withdrawal;smart_atm|VS820|36.39266398|127.41356396
GS25|G대전톨게이트점|대전 대덕구 동서대로1762 (비래동 557-6)|cafe25;post;withdrawal|VX338|36.35272921|127.44361177
GS25|G둔산우리점|대전 서구 청사로224 (둔산2동 916)|cafe25|VX352|36.35942773|127.38873147
GS25|G목포합동점|전남 목포시 영산로696 (석현동 489-2)|withdrawal|V2V32|34.82713588|126.42174376
GS25|G서초연일점|서울 서초구 남부순환로2451 (서초1동 1426-13, 연일주유소)|cafe25;drug;post;withdrawal|VE465|37.48257474|127.01849562
GS25|G세종로점|세종 세종로1328 (아름동 816)|cafe25;drug;post;withdrawal|VT915|36.52056157|127.24435727
GS25|G스마트MTV점|경기 안산시 단원구 시화호수로841번길4 (성곡동 851-7)|drug;post|V2P27|37.29604193|126.76000014
GS25|G시화공단점|경기 시흥시 공단1대로256, 102호(정왕1동 1367-2, 시화공단3다)|cafe25;drug;withdrawal|VE326|37.33499997|126.7290724
GS25|G시흥하우로점|경기 시흥시 하우로26-1, GS칼텍스 하우고개주유소 내 1층 (대야동 57-5)|post;withdrawal|VU723|37.45831258|126.78605788
GS25|G신방우리네점|충남 천안시 동남구 서부대로235 (신방동 49-25, 우리네주유소)|cafe25;drug;post;withdrawal|VE570|36.78939759|127.12847191
GS25|G신사남서울점|서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)|cafe25;bakery;instant;drug;post;withdrawal;smart_atm;self_cook|VI465|37.51617873|127.018938
GS25|G여의도점|서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)|cafe25;drug;post;battery;withdrawal;jella_soft;self_cook|VN373|37.53035064|126.92556942
GS25|G오토피아점|인천 중구 축항대로291번길10 (신흥동3가 33-35)||VX166|37.44954975|126.62831555
GS25|G옥길로점|경기 부천시 옥길로6 (옥길동 767-2)|cafe25;post|VY345|37.46045065|126.81381835
GS25|G유성온천|대전 유성구 도안대로583 (봉명동 554-6)|withdrawal|VP894|36.35218594|127.34037821
GS25|G일신동양점|인천 부평구 경인로1130 (일신동 109-12)|cafe25;post;withdrawal|VX169|37.48484702|126.74540954
GS25|G정왕IC점|경기 시흥시 서해안로590(정왕동 1112-2)|cafe25;drug;withdrawal;smart_atm;self_cook|VE325|37.37135836|126.73841695
GS25|G조례연향점|전남 순천시 강변로1039 (가곡동 937-21)|post;withdrawal|VI412|34.97646477|127.48346007
GS25|G창원관문점|경남 창원시 성산구 공단로22 (신촌동 19-1)|cafe25;withdrawal;self_cook|VO112|35.21007654|128.62836958
GS25|G춘천푸른강산점|강원 춘천시 춘천로22 (퇴계동 1187)|post|VU748|37.86667107|127.72226237
GS25|G파주조인점|경기 파주시 창곡동길27 (야동동 151-12)|cafe25;drug;post;withdrawal|VQ413|37.77295071|126.76460915
GS25|G황금캐슬점|대구 수성구 청수로172 (지산동 932)|drug;post;withdrawal|VO535|35.83885371|128.62696943
GS25|HR아팰리스점|광주 남구 제석로104, 201동 102호 (봉선동 1095)|cafe25;instant;drug;post;atm;withdrawal;self_cook|VW918|35.12370418|126.90725243
GS25|KD사옥점|서울 성동구 왕십리로125 (성수동1가 656-292)|drug;post|V2M38|37.54872267|127.0439634
GS25|KNU산과대점|충남 예산군 예산읍 대학로54 (대회리 1, 학생회관)|post;withdrawal|VR934|36.67009928|126.86050631
GS25|LGD구미A1점|경북 구미시 3공단2로209 (진평동 642-3, LG디스플레이1공장)|cafe25;self_cook|VT294|36.09945181|128.40404094
GS25|LGD구미A2점|경북 구미시 3공단2로235, 지하1층 (진평동 642)|cafe25|VX819|36.10284078|128.40401387
GS25|LGD구미복지동점|경북 구미시 3공단2로174, 1층 (시미동 163, 복지동)|cafe25|VT295|36.09511065|128.40844971
GS25|LGD구미점|경북 구미시 3공단2로181, 1층 (시미동 162)|cafe25|VX729|36.09608936|128.40422363
GS25|LGD나래원점|경북 칠곡군 석적읍 동중리9길13, LG디스플레이 나래원 기숙사 복지관동 1층 (중리 224-1)|post|VW477|36.0778221|128.41678732
GS25|LGD파주A1동점|경기 파주시 월롱면 엘지로245, A1동 2층 (덕은리 1239)|cafe25|VW494|37.81197878|126.76261899
GS25|LGD파주A2동점|경기 파주시 월롱면 엘지로245, A2동 2층 (덕은리 1239)|cafe25|V2E32|37.81197878|126.76261899
GS25|LGD파주Ru0026D점|경기 파주시 월롱면 엘지로245, RD동 15층 (덕은리 1239)|cafe25|VR977|37.81197878|126.76261899
GS25|LGD파주러닝센터점|경기 파주시 월롱면 엘씨디로139 (덕은리 1264)|cafe25;post|V2J77|37.80454096|126.76733077
GS25|LGD파주복지동B점|경기 파주시 월롱면 엘씨디로231, G/H동 3층 (덕은리 1251)|cafe25|V2E33|37.81076337|126.75842599
GS25|LG광화문점|서울 종로구 새문안로58, 지하2층 (신문로2가 92, LG광화문빌딩)|cafe25;post|V2A78|37.56939613|126.97147733
GS25|LG기숙사점|경기 파주시 월롱면 엘씨디로241번길8-15(덕은리 1248-1)|toto;cafe25;instant;drug|V2F62|37.81161909|126.7566968
GS25|LG복지동점|경기 평택시 진위면 엘지로222, M동 1층 (청호리 1)||V2A55|37.12964877|127.09098027
GS25|LG사이언스파크점|서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)|withdrawal;smart_atm|VW423|37.56410133|126.82870256
GS25|LG생산기술원점|경기 평택시 진위면 엘지로222(청호리 19-1, LG디지털파크)||VW417|37.12397163|127.08861743
GS25|LG연구동점|경기 평택시 진위면 엘지로222, (R1동(연구동)) (청호리 19-1, 엘지전자(주))||VY920|37.12397163|127.08861743
GS25|LG유플러스용산점|서울 용산구 한강대로32, 지하1층 (한강로3가 65-228, 엘지유플러스)|post|VQ791|37.52377837|126.96347203
GS25|LG이노텍3점|경기 파주시 문산읍 월롱산단2길19(내포리 1636-4)|cafe25;instant;post;withdrawal;smart_atm|VJ919|37.83827235|126.77928921
GS25|LG인화원점|경기 이천시 마장면 지산로167-72, 1층 일부 (해월리 165-1)||VQ481|37.21107113|127.35270425
GS25|LG전자구미1점|경북 구미시 수출대로168, LG전자 구미1공장 내  (공단동 191-5)||V6975|36.10904306|128.3844192
GS25|LG전자구미3점|경북 구미시 산호대로77 (공단동 299)||VY639|36.09059598|128.38365198
GS25|LG전자기숙사점|경북 구미시 칠성로2길19 (신평동 150-27)||VY743|36.1230617|128.36008065
GS25|LG전자창원2점|경남 창원시 성산구 완암로84 (성산동 76, LG전자창원2공장)||VY044|35.20785417|128.66637546
GS25|LIG합정점|서울 마포구 양화로19, 101호 (합정동 471, 지하1층)|cafe25;post;battery;withdrawal|VL182|37.54910493|126.91121074
GS25|LS엠트론점|경기 안양시 동안구 엘에스로116번길39(호계1동 555-16)|cafe25;post|VM171|37.37375778|126.94980094
GS25|NC소프트점|경기 성남시 분당구 대왕판교로644번길12, 지하1층 (삼평동 668, (주)엔씨소프트판교RD센터)|self_cook|VW157|37.39937722|127.10805124
GS25|R강동4점|서울 강동구 구천면로200, 강동지사 4층 (천호동 419-3, 한국마사회)||V2B28|37.54003642|127.12653161
GS25|R강북4점|서울 강북구 도봉로302, 4층 (번동 449-6, 한국마사회강북지점)||VW644|37.63533645|127.02374093
GS25|R강북6점|서울 강북구 도봉로302, 6층 (번동 449-6, 한국마사회강북지점)||VW643|37.63533645|127.02374093
GS25|R광주4점|광주 동구 구성로257, 4층 (계림동 293-4)||VX320|35.15729359|126.91870112
GS25|R대구3점|대구 달성군 가창면 가창로175길6 (냉천리 27-17)||VO254|35.78869095|128.63627689
GS25|R대전5점|대전 서구 월평중로21 (월평동 519)||VO520|36.35653886|127.36362853
GS25|R도봉4점|서울 도봉구 노해로67길14, 4층 (창동 8, 한국마사회)||VX274|37.65228704|127.04938016
GS25|R도봉8점|서울 도봉구 노해로67길14, 8층 일부 (창동 8, 한국마사회창동지점)||VT973|37.65228704|127.04938016
GS25|R럭키빌남단1점|경기 과천시 경마공원대로107, 1층 (주암동 685, 럭키빌)||VY623|37.44746641|127.0170445
GS25|R럭키빌중앙2점|경기 과천시 경마공원대로107, 2층 (주암동 685, 럭키빌)||VY932|37.44746641|127.0170445
GS25|R럭키빌중앙4점|경기 과천시 경마공원대로107, 4층 (주암동 685, 럭키빌)||VX367|37.44746641|127.0170445
GS25|R부경2|경남 김해시 가락대로929-1, 2층 (수가동 1333)||VO265|35.15516636|128.87095107
GS25|R부경3점|부산 강서구 가락대로929 (범방동 1833)||VO465|35.15561301|128.87900105
GS25|R부경4점|경남 김해시 가락대로929-1, 4층 (수가동 1333)||VO758|35.15516636|128.87095107
GS25|R부산관람대1점|경남 김해시 가락대로929-1(수가동 1333)||VY607|35.15516636|128.87095107
GS25|R부산동구2점|부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)||VM096|35.13664235|129.06505424
GS25|R부산동구3점|부산 동구 자성로134 (범일2동 825-3, 눌원빌딩)||VM097|35.13664235|129.06505424
GS25|R부산연제4점|부산 연제구 월드컵대로164번길26, 4층 (연산동 1127-1, 장연빌딩)||VO430|35.18783219|129.07932581
GS25|R서울강남4점|서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)||VT520|37.5250955|127.05158476
GS25|R서울구남2점|경기 과천시 경마공원대로107, 구관람대 2층 (주암동 685, 한국마사회)||V2K86|37.44746641|127.0170445
GS25|R서울구남4점|경기 과천시 주암동렛츠런파크서울 해피빌 구관 4층 남단||VS880|37.4536593|127.02715839
GS25|R서울구북3점|경기 과천시 경마공원대로107, 렛츠런파크서울 해피빌 3층 북단 (주암동 685)||VT574|37.44746641|127.0170445
GS25|R서울구북4점|경기 과천시 주암동렛츠런파크서울 해피빌 구관 4층 북단||VS879|37.4536593|127.02715839
GS25|R서울박물관점|경기 과천시 경마공원대로107 (주암동 685)||VO449|37.44746641|127.0170445
GS25|R서울신북1점|경기 과천시 경마공원대로107, 1층 (주암동 685, 신림관대)||V2K82|37.44746641|127.0170445
GS25|R서울신북2점|경기 과천시 경마공원대로107, 신관람대 2층 (주암동 685, 한국마사회)||V2K83|37.44746641|127.0170445
GS25|R서울신북3점|경기 과천시 경마공원대로107 (주암동 685, 신관람대3층북단)||V2K84|37.44746641|127.0170445
GS25|R서울신북4점|경기 과천시 경마공원대로107 (주암동 685, 신관람대4층북단)||V2K85|37.44746641|127.0170445
GS25|R서울신중3점|경기 과천시 경마공원대로107 (주암동 685, 신관람대3층 중앙)||VO481|37.44746641|127.0170445
GS25|R안산9점|경기 안산시 단원구 삼일로310, 9층 GS25 R안산9 (선부동 1077)||V2C57|37.33380803|126.81206627
GS25|R영등포8점|서울 영등포구 영중로8길14, 8층 (영등포동3가 18, 마사회)||VX449|37.5181796|126.90713537
GS25|R의정부4점|경기 의정부시 시민로45, 4층 (가능동 754-21, 안산빌딩)||VT191|37.73868319|127.04007341
GS25|R의정부5점|경기 의정부시 시민로45, 5층 (가능동 754-21, 안산빌딩)||VT208|37.73868319|127.04007341
GS25|R인천중구5점|인천 중구 신포로23번길49, 5층 (중앙동3가 4-41, 중앙프라자)||VY629|37.47183649|126.62249329
GS25|R일산마사4층점|경기 고양시 일산동구 중앙로1275번길60-19, 4층 일부 (장항동 756-4)||VW284|37.6595905|126.7684282
GS25|R일산마사5층점|경기 고양시 일산동구 중앙로1275번길60-19, 5층 일부 (장항동 756-4)||VW285|37.6595905|126.7684282
GS25|R일산마사6층점|경기 고양시 일산동구 중앙로1275번길60-19, 6층 일부 (장항동 756-4, 로데오 메탈릭타워 II)||VS935|37.6595905|126.7684282
GS25|R제주구관람대2점|제주 제주시 애월읍 평화로2144, 2층 (유수암리 1206, 구관람대)|cafe25|VX368|33.40774512|126.39877211
GS25|R제주신관람대2점|제주 제주시 애월읍 평화로2144, 2층 (유수암리 1206, 신관람대)||VX370|33.40774512|126.39877211
GS25|R제주예시장점|제주 제주시 애월읍 평화로2144, 예시장 (유수암리 1206)|cafe25|VX369|33.40774512|126.39877211
GS25|R종로2점|서울 종로구 난계로29길49, 2층 (숭인동 201-18, 한국마사회 종로지사)||VY304|37.57363484|127.02066398
GS25|R창원3점|경남 창원시 성산구 중앙대로33 (중앙동 101-2, 대흥인터빌)||VT403|35.21905599|128.67501291
GS25|R창원4점|경남 창원시 성산구 중앙대로33 (중앙동 101-2, 대흥인터빌)||VT404|35.21905599|128.67501291
GS25|R천안2점|충남 천안시 서북구 성정두정로62, 2층 (두정동 1394, 희망빌딩)||VN398|36.83090356|127.14186857
GS25|S6고려대역점|서울 성북구 종암로지하 1, 6호선 고려대역 지하철역사 (종암동 29-18)|cafe25|VY896|37.59041163|127.03591174
GS25|S6공덕역점|서울 마포구 백범로지하 200, 지하1층 (공덕동 439, 공덕역)|cafe25|VS371|37.54351749|126.95192797
GS25|S6광흥창역점|서울 마포구 독막로지하 165, 6호 호선 광흥창역 (창전동 145-17)||VR239|37.54744215|126.93238573
GS25|S6구산역점|서울 은평구 연서로지하 137-1, 6호선 구산역 지하1층 1001호 (구산동)|cafe25|VX976|37.61093014|126.91667536
GS25|S6녹사평역점|서울 용산구 녹사평대로지하 195, 지하 (용산동4가 4)|cafe25|VU532|37.53444061|126.98559185
GS25|S6대흥역점|서울 마포구 대흥로지하 85, 6호 호선 대흥역 (대흥동 128-1)|cafe25|VR247|37.54772106|126.94235176
GS25|S6독바위역점|서울 은평구 불광로지하 129-1, 지하1층 1001호 (불광동 13-33)|cafe25|VX115|37.61836671|126.9328336
GS25|S6돌곶이역점|서울 성북구 화랑로지하 243, 지하철 역사 (석관동 349-8, 6호선)|cafe25|V2F26|37.61055883|127.05709244
GS25|S6동묘앞역점|서울 종로구 지봉로지하 24 (숭인동 316-3)|cafe25|VX765|37.57165724|127.01581079
GS25|S6마포구청역점|서울 마포구 월드컵로지하 190 (성산동 592, 마포구청역)|cafe25|VX112|37.56339473|126.90335112
GS25|S6망원역점|서울 마포구 월드컵로지하 77, 6호 호선 망원역 (망원동 378)||VR240|37.55493609|126.91039025
GS25|S6보문역점|서울 성북구 보문로지하 116 (보문동1가 127-1, 6호선 보문역역사)|cafe25|VY871|37.58559262|127.01969212
GS25|S6봉화산역점|서울 중랑구 신내동643-3번지 , 6호선 지하철 역사 내|cafe25|VT898|37.61511613|127.09598856
GS25|S6불광역점|서울 은평구 통일로지하 723-1, 6호선 불광역 지하2층 2002호 (대조동 14-1)|cafe25|VR282|37.61051364|126.92928746
GS25|S6삼각지역점|서울 용산구 한강대로지하 185, 지하3층 (한강로1가 228-1, 6호선 삼각지역)|cafe25|VT617|37.53442196|126.97301013
GS25|S6상수역점|서울 마포구 독막로지하 85, 6호 호선 상수역 (상수동 309-10)|cafe25|V2E38|37.54811054|126.92264379
GS25|S6상암DMC역2점|서울 은평구 증산동223-27번지 6호선 DMC역 지하1층|cafe25|V2B99|37.57713956|126.90184764
GS25|S6상월곡역점|서울 성북구 화랑로지하 157, 지하철 6호선 상월곡역 역사 내 (상월곡동 26-1)||V2C89|37.60703041|127.04968461
GS25|S6새절역점|서울 은평구 증산로지하 400, 지하1층 1001호 (신사동 337-5, 6호선 새절역사무소)||V2D37|37.59114823|126.9132708
GS25|S6석계역점|서울 노원구 월계동25-4 지하철 역사 내|cafe25|VQ867|37.61547991|127.06747386
GS25|S6신당역점|서울 중구 다산로지하 260, 지하  (흥인동 162-1, 신동역 6호선)|cafe25|VX626|37.56756902|127.01611361
GS25|S6안암역점|서울 성북구 인촌로지하 89, 6호선 지하철 역사 내 (안암동5가 146-1)|cafe25|VQ869|37.58608696|127.02935512
GS25|S6약수역점|서울 중구 다산로지하 115, 지하층  (신당동 369-2, 약수역 6호선)|cafe25|VX563|37.55505047|127.01035898
GS25|S6역촌역점|서울 은평구 서오릉로지하 63, 6호선 역촌역 지하1층 1001호 (녹번동 144-69)|cafe25|VY675|37.60621511|126.92327859
GS25|S6연신내역점|서울 은평구 통일로지하 849, 6호선 연신내역 지하1층 1001호  (갈현동)|cafe25|VU929|37.6189243|126.92082983
GS25|S6월곡역점|서울 성북구 월곡로지하 107, 6호선 월곡역 역사 (하월곡동 35-1)|cafe25|VY770|37.60182751|127.04140428
GS25|S6월드컵경기장역점|서울 마포구 성산동지하240||VR241|37.56440695|126.90854311
GS25|S6응암역점|서울 은평구 증산로지하 477, 지하2층 2001호(6호선 응암역) (역촌동 85-41)|cafe25|VQ938|37.59927644|126.91532688
GS25|S6이태원역점|서울 용산구 이태원로지하 177, 이태원역 B1 1001호 (이태원동 119-23)|cafe25|VR001|37.53454513|126.99465356
GS25|S6증산역점|서울 은평구 증산로지하 306, 6호선 증산역 지하1층 1001호 (증산동 199-8)|cafe25|VX944|37.58372274|126.9092575
GS25|S6창신역점|서울 종로구 지봉로지하 112 (창신동 20-8)|cafe25|VR245|37.57950922|127.01519797
GS25|S6한강진역점|서울 용산구 이태원로지하 287, 지하1층 (한남동 726-494, 6호선 한강진역)|cafe25|VQ956|37.54077822|127.00183455
GS25|S6합정역점|서울 마포구 양화로지하 45, 6호선 지하1층 편의점  (합정동)|cafe25|VR941|37.5493759|126.9142171
GS25|S6화랑대역점|서울 노원구 화랑로지하 510, 지하철 역사 내 (공릉동 285-2)|cafe25|VY979|37.61988307|127.08319843
GS25|S6효창공원앞역점|서울 용산구 백범로지하 287, 6호선 효창공원앞역 지하1층 (효창동)||VR238|37.53961476|126.9609671
GS25|S8가락시장역점|서울 송파구 송파대로지하 257, 8호선 지하철 역사 (가락동 184-23)|cafe25|VR175|37.49292916|127.11805624
GS25|S8강동구청역점|서울 강동구 올림픽로지하 550, 8호선 지하철 역사 내 (성내동)|cafe25|VR174|37.53069365|127.121832
GS25|S8남한산성입구역점|경기 성남시 수정구 산성대로지하 445, 8호선 지하철 역사 내 (단대동)||VQ866|37.44970238|127.15720582
GS25|S8단대오거리역점|경기 성남시 수정구 신흥동2458 8호선 지하철 역사 내부|cafe25|VR147|37.44530306|127.15565037
GS25|S8모란역점|경기 성남시 수정구 산성대로95, 8호선 모란역 역사 내 (수진동)|cafe25|VR539|37.43424688|127.12955912
GS25|S8몽촌토성역점|서울 송파구 올림픽로지하 383, 신천동 8호선 지하철 역사 (신천동 19)||V2U67|37.51695061|127.11073742
GS25|S8문정역점|서울 송파구 장지동56번지 8호선 지하철 역사 내부|cafe25|VY697|37.48388318|127.13644637
GS25|S8복정역점|서울 송파구 장지동600 8호선지하철역사 내|cafe25|VQ862|37.47231845|127.12852993
GS25|S8산성역점|경기 성남시 수정구 수정로지하 365, 8호선 산성역 역사 내 (신흥동)|cafe25|VY962|37.45692496|127.15035417
GS25|S8석촌역점|서울 송파구 송파대로지하 439, 8호선 지하철 역사 (석촌동 209)|cafe25|VT746|37.50680082|127.10545134
GS25|S8송파역점|서울 송파구 송파대로지하 354, (8호선 지하철 역사내) (가락동 459-4)|cafe25|VQ865|37.4997426|127.11223083
GS25|S8수진역점|경기 성남시 수정구 산성대로203, 8호선 수진역 역사 내 (수진동)|cafe25|V2R58|37.43783154|127.1404224
GS25|S8신흥역점|경기 성남시 수정구 산성대로지하 204-2, 8호선 신흥역 역사 내 (신흥동)|cafe25|V2E39|37.44842255|127.15212302
GS25|S8암사역점|서울 강동구 올림픽로지하 776, 지하철 8호선 암사역 역사 내 (암사동 501)|cafe25|VY693|37.55115868|127.12818997
GS25|S8장지역점|서울 송파구 송파대로지하 82 (장지동 201-5)|cafe25|VQ678|37.47764679|127.12650077
GS25|S9둔촌오륜역점|서울 강동구 강동대로305, 지하철 9호선 둔촌오륜역 B1 (둔촌동 180-2)||VY898|37.51974774|127.14046777
GS25|S9봉은사역점|서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)|cafe25|VQ868|37.51442446|127.06028283
GS25|S9삼성중앙역점|서울 강남구 봉은사로지하 501 (삼성동 111-147)|cafe25|VY926|37.51164542|127.04855386
GS25|S9삼전역점|서울 송파구 백제고분로187 (잠실동 250-5, 파크인-수)|cafe25|VY908|37.50477315|127.0877409
GS25|S9석촌고분역점|서울 송파구 삼전동157번지||VY974|37.50260315|127.09614803
GS25|S9석촌역점|서울 송파구 송파대로지하 439, 지하철 9호선 석촌역 (석촌동 209)|cafe25|V2C55|37.50680082|127.10545134
GS25|S9송파나루역점|서울 송파구 송파동3, 지하철 9호선 송파나루역||V2B33|37.50966154|127.11200026
GS25|S9언주역점|서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)||VR260|37.50748345|127.03423077
GS25|S9올림픽공원역점|서울 송파구 방이동88-26 지하철9호선 올림픽공원역 B1층||V2D55|37.51619484|127.13024844
GS25|S9종합운동장역점|서울 송파구 올림픽로지하 23, 9호선 종합운동장역 역사 (잠실동 122)||VY715|37.51110199|127.07428261
GS25|S9중앙보훈병원역점|서울 강동구 명일로117, 지하철9호선 중앙보훈병원역 지하1층 (둔촌동 545)||VY933|37.52950193|127.14235846
GS25|S9한성백제역점|서울 송파구 위례성대로51, 지하철9호선 한성백제역 지하1층 (방이동 88-21)||V2E22|37.5177242|127.1165654
GS25|SDI점|울산 울주군 삼남면 반구대로158(방기리 59-20)|toto;drug;post;withdrawal|V8450|35.51181215|129.09595806
GS25|SK행복드림구장점|인천 미추홀구 매소홀로618, 1층 (문학동 482, SK행복드림구장)|cafe25|V2P23|37.43558511|126.69120353
GS25|S가산디지털단지역점|서울 금천구 가산동462-2번지 가산디지털단지역|cafe25;battery|V2B55|37.48246091|126.88196679
GS25|S강남구청역점|서울 강남구 삼성동1 7호선강남구청역내|battery|VF904|37.51697895|127.04177805
GS25|S강남역1호점|서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)|battery|VY010|37.49784131|127.02863248
GS25|S강남역2호점|서울 강남구 강남대로390, B3층 38호  (역삼동 825)||VY523|37.49784131|127.02863248
GS25|S강남역3호점|서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)||VT609|37.49784131|127.02863248
GS25|S건대입구역점|서울 광진구 화양동6-3 B3,X22-23|cafe25;battery|VW501|37.5405514|127.07007128
GS25|S경성부경대역점|부산 남구 수영로지하 324 (대연동 77)|cafe25|VY051|35.13746256|129.10136383
GS25|S고속터미널역점|서울 서초구 반포동19-3 7호선고속버스터미널||VF887|37.5043539|127.00350728
GS25|S공릉역점|서울 노원구 동일로지하 1074, 내 (공릉동 385-4, 7호선공릉역)||VW257|37.62589057|127.07250969
GS25|S광교역점|경기 수원시 영통구 이의동742번지 신분당선 광교역||V2V26|37.30202219|127.04429777
GS25|S광교중앙역점|경기 수원시 영통구 도청로지하 45 (이의동 177-18)|cafe25|VS635|37.28885562|127.0519303
GS25|S광명사거리역점|경기 광명시 광명동158번지 광명사거리역내|cafe25;battery|VF903|37.4798265|126.857132
GS25|S군자역점|서울 광진구 능동로277, 지하1층 (군자동 1-9, 군자역내)|cafe25;battery;withdrawal|VX957|37.55479468|127.07781684
GS25|S굴포천역점|인천 부평구 주부토로304, 호선 굴포천역內(갈산1동 7)|battery|VY048|37.52140351|126.72954837
GS25|S까치울역점|경기 부천시 오정구 역곡로398, 호선 까치울역內(작동 7)||VM307|37.52017623|126.81518118
GS25|S남광주역점|광주 동구 제봉로지하 1, (지하103-1)(학동 994, 남광주역)||VU472|35.13931276|126.92296616
GS25|S남구로역점|서울 구로구 구로동800 7호서남구로역지하2층||VQ946|37.48586335|126.88732098
GS25|S남성역점|서울 동작구 사당로14가길19, 사당동, 7호선 남성역 내 (사당동 250-1)||VY535|37.4841919|126.9713349
GS25|S내방역점|서울 서초구 서초대로지하 103 (방배동 874-16, 7호선내방역내)|cafe25;battery|VS325|37.48829048|126.99315923
GS25|S노원역점|서울 노원구 상계동2-1번지|cafe25|VW535|37.69288152|127.07239024
GS25|S논현역점|서울 강남구 논현동280번지|cafe25;battery|VF880|37.5103393|127.022125
GS25|S뉴용문역점|대전 서구 계룡로지하 644, 지하1층 (용문동 262, 용문역)||VS288|36.33790168|127.39321069
GS25|S뉴정부청사점|대전 서구 한밭대로지하 744, 대전도시철도 1호선 정부청사역 구내상가 지하 1층 (둔산동 1515-1)||VQ998|36.35773645|127.38581426
GS25|S대림역점|서울 영등포구 도림로지하 137, 7호 호선 대림역 (대림동 1050-17)|cafe25|VY986|37.49281872|126.89685253
GS25|S동천역점|경기 용인시 수지구 동천동322-3번지 동천역사 내 상가||V2T97|37.33821858|127.10297431
GS25|S뚝섬유원지역점|서울 광진구 능동로10 (자양동 73-2, 7호선 뚝섬유원지역내)||VO510|37.53194905|127.06698743
GS25|S마들역점|서울 노원구 한글비석로530, (7호선마들역내)  (상계9동 647, 상계주공12단지아파트)|cafe25;battery|VK337|37.66626997|127.05935781
GS25|S매봉역점|서울 강남구 도곡동461-1번지 매봉역내 333-03호||VO089|37.48509708|127.04703624
GS25|S매헌역점|서울 서초구 매헌로지하 116, 지하층 매장 2호 (양재동 233-2)|battery|V2V28|37.46999678|127.03831959
GS25|S먹골역점|서울 중랑구 묵동175-4번지 지하철7호선 먹골역 내|battery|VW728|37.6118299|127.07769067
GS25|S메트로금호점|서울 성동구 동호로지하 104, 324-09호 (금호동4가)|cafe25|VP905|37.54810442|127.01587158
GS25|S면목역점|서울 중랑구 면목본동120번지||VF906|37.58870234|127.08724969
GS25|S반포역점|서울 서초구 잠원동130번지|battery|VE002|37.51233234|127.00186286
GS25|S보라매역점|서울 영등포구 신풍로113(신길6동 508)|cafe25;battery|VH379|37.5001491|126.9188208
GS25|S부산광안역점|부산 수영구 수영로지하 576, 지하구내층  (광안동 205, 도시철도 광안역)|cafe25|VX651|35.15835741|129.11606765
GS25|S부산구서역점|부산 금정구 금정로233번길46 (구서동 475)||V2S38|35.24503543|129.09021383
GS25|S부산두실역점|부산 금정구 중앙대로1927-1 (구서동 262)|cafe25;jella_soft|VT187|35.25403721|129.09054314
GS25|S부산명륜역점|부산 동래구 중앙대로1414, 지하철 명륜역 (온천동 489-4)|cafe25|VY050|35.21200387|129.07971154
